review_text,review_title,rating,date,platform,app_version,language,thumbs_up_count,review_id,source_app,source_package,source_method
good,,5,2026-09-19,play_store,18.17.3,en,0,c849bcc1-2497-4c7c-9b53-7b34cf6f7c1c,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
very good,,4,2026-09-19,play_store,18.17.3,en,1,761c4b37-786d-47a9-944a-53b5cbdb7fa3,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice 👍,,5,2026-09-19,play_store,18.17.3,en,0,6254d167-094b-4eb6-827d-ef3edb779ce5,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good 😊,,4,2026-09-19,play_store,18.16.1,en,0,6de488b8-dfaa-4a4c-8056-4f2a95a1d57f,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
op,,1,2026-09-19,play_store,,en,0,d0e3f556-eead-4e39-aac2-516ab11d0673,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
यह बहुत ही खराब है फालतू के चार्ज बहुत ज्यादा लगती है कमोडिटी ट्रेन में कई बार मेरे पैसे को ब्लॉक किया है पहले अच्छा था मैं 5 साल से use कर रहा हूं लेकिन आप बहुत ही खराब हो गया है,,1,2026-09-19,play_store,18.17.3,en,0,90e816bb-4070-4fcc-ac92-cbaa711cf79f,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice,,5,2026-09-19,play_store,18.17.3,en,0,99052aa1-ae8d-42c0-8465-b2ab6ce445d2,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
marvelous,,5,2026-09-19,play_store,18.15.1,en,0,2be61a83-eb8c-401f-926b-32995398ad3d,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
not able to change to primary account. Add or Remove are not working,,4,2026-09-19,play_store,18.17.3,en,1,3ce5aad4-4ccf-428a-85aa-764648730033,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
excellent,,5,2026-09-19,play_store,18.11.1,en,0,666ac6ac-7be4-4e82-8ebc-8a5c68462426,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
3 years good 👍👍👍👍,,5,2026-09-19,play_store,18.17.3,en,0,bddb5c92-81c6-4caf-b4c1-d74a8d7018c8,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
Good,,5,2026-09-19,play_store,18.15.0,en,0,8485cea6-4cf1-4bae-b37b-ca255f1bc8cf,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
very helpful groww app thankyu,,5,2026-09-19,play_store,18.17.3,en,0,a5b8837c-4c04-4a68-9abc-b4b97bb4532c,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
best,,5,2026-09-19,play_store,18.17.3,en,0,c0ab9474-e13b-4129-aabb-23ed5f459e6a,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
Good,,4,2026-09-19,play_store,18.17.3,en,0,5f77dccc-0f88-4d32-8294-781698afdcf0,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good,,5,2026-09-19,play_store,18.17.3,en,0,71751301-fda1-4344-9546-14141abd6950,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
"The third class customer care services they never received a call .groww automatic execute the orders and put you in minus if have gane profit,guys be careful.",,4,2026-09-19,play_store,18.17.3,en,0,dfb2d248-8afa-4a4e-b76f-32dcc970834c,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
best performer,,5,2026-09-19,play_store,18.17.3,en,0,55647442-0067-4bf3-8ae4-b5b2bb9b9822,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
wow,,5,2026-09-19,play_store,18.16.1,en,0,7e36af22-62ce-4e99-a130-c10269160f5d,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
"Very Disappointing Experience with Groww I bought shares for ₹200 and held them for 5–6 days. When the share price reached ₹220, I sold them expecting to receive my profit. However, after the transaction and deductions, I received only around ₹177 in my wallet. I understand that taxes and other charges may apply, but the deductions were very disappointing and were not clear enough to me. I bought at ₹200, sold at ₹220 after 5–6 days, yet the final amount I received was even lower than my origi",,1,2026-09-19,play_store,18.17.3,en,0,fcb0057c-a76c-492e-b953-eda2273139ef,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
ok,,5,2026-09-18,play_store,18.16.1,en,0,68a5d775-4735-42fa-8761-b6020ce2708b,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good experience,,4,2026-09-18,play_store,18.17.3,en,0,bd4d9e54-b650-4a54-b032-e2bb3ade7207,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good 👍👍,,5,2026-09-18,play_store,18.17.3,en,0,d3ba2aa2-c372-4dd4-96a9-ed903645cdaf,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good,,5,2026-09-18,play_store,18.16.1,en,0,62e5162a-0493-458e-aa5a-0b3fa6c9ebae,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
for bigger,,5,2026-09-18,play_store,18.17.3,en,0,e6e5bcff-8c9d-4c40-82d6-e0bc2a1139f0,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good,,4,2026-09-18,play_store,18.17.3,en,1,18757f8f-934c-4169-8200-aa74a489d1e0,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice,,5,2026-09-18,play_store,18.17.3,en,0,3fb7aa5a-93eb-4f8b-97bf-0e50ab0e70cf,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
Very irritating app,,4,2026-09-18,play_store,18.17.3,en,1,84af40e9-3070-422d-abdf-e6fc02f53f00,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
I absolutely love the simplicity of the app. way better than other brokers out there. extremely easy to use and navigate.,,5,2026-09-18,play_store,18.17.3,en,0,00405d61-2da4-407c-af7d-837de1c2f852,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
best app for trading 👌,,4,2026-09-18,play_store,18.17.3,en,1,f946382d-d958-4426-be16-d5cb6bdbf437,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good 👍,,5,2026-09-18,play_store,18.17.3,en,0,4ad3ddb9-74b7-4cf4-85ae-59158ae774a5,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
op,,5,2026-09-18,play_store,18.17.3,en,0,28952689-dbc3-4070-a04c-5d2d1c8e38c5,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
best app for share market learn,,5,2026-09-18,play_store,,en,0,4b6f0d57-5b47-479c-b9ae-c0d20f48592b,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
gooy,,5,2026-09-18,play_store,18.15.1,en,0,4ddf9163-3628-4ea6-bb3d-0e0d74ced943,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice 💰💰,,5,2026-09-18,play_store,,en,0,97f96acc-da38-4a96-ab43-84411c9fb79f,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
excellent,,5,2026-09-18,play_store,18.17.3,en,0,6b9bb9c4-9bd0-4225-91c1-d70e2b330816,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
grow is not a name it's orginaly grow,,5,2026-09-18,play_store,18.16.1,en,0,4d3a8b03-45b9-4dd3-9fd4-3177cfaa2ee7,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
Good,,5,2026-09-18,play_store,18.17.3,en,0,30efd37f-91e8-498c-92a5-f3e5e6a4f0b7,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
top,,5,2026-09-18,play_store,18.16.1,en,0,c898e554-aa59-4828-b1df-eb671a9fb3d9,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
I have a suggestion that Mobile number change karne ke liye bina login ke bhi online koi option hona chahiye,,5,2026-09-18,play_store,,en,0,3a28b149-284b-4f84-8565-10ebd79c5a05,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good 👍😊,,5,2026-09-18,play_store,18.17.3,en,0,02a28d42-574f-4dd1-a742-a0e098451cf9,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
kripya upcoming IPO ke review groww ke narater aleena rais and Nishant Kumar se hi karwaye. resion-very helpful video and language thank you,,5,2026-09-18,play_store,18.17.3,en,0,a58f096d-10b3-4e80-b5d5-50b9650c7ee2,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good,,4,2026-09-18,play_store,18.16.1,en,1,8c2e515b-d280-40e7-a3ec-369de414d92d,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
excellent,,5,2026-09-18,play_store,18.17.3,en,0,bce2f191-e724-4426-9e6d-3a7c5705c02b,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
होम पेज पर जो लोन का ऑप्शन है वहां यूपीआई का ऑप्शन दीजिए और इस ऐप में वैसे भी लोन नहीं मिलता है दूसरे अप का लिंक आता है,,5,2026-09-18,play_store,18.17.3,en,0,50d45f3f-0777-45ca-91a1-b7769d3ff7bb,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
😻😻🩵💙,,5,2026-09-18,play_store,18.17.3,en,0,1a787be1-a342-4252-9caf-0864dda4939f,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good,,5,2026-09-18,play_store,18.17.3,en,0,63e67222-bdfe-44c3-b72e-d83511725de6,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
Nice way to earn more money,,5,2026-09-18,play_store,18.17.3,en,0,b6f05bbf-7959-4296-bc76-1426fe96673e,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good,,4,2026-09-18,play_store,18.15.1,en,0,359af6b1-3bfe-41af-adc4-86c6cbf1cf1e,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nok,,5,2026-09-18,play_store,,en,0,212d68d0-c1a9-4998-b65c-08fb73d45df5,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
your operations in stocks right .If your not assist in time there is no way its useful or helpful.  I have tried 3 time through call i have been in hold of 10 - 15 minutes after that also didn't get call back . Then i have started chat option i have sent a message in 4 pm got my reply in 6 pm . If you need screen shots i can provide Great service groww..,,1,2026-09-18,play_store,18.17.3,en,0,dd491cad-335a-446d-94c9-8bde9a283553,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good 👍,,5,2026-09-18,play_store,18.17.3,en,0,8a40f9e8-669d-4a00-a2a8-4f96393cd77f,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
helping,,5,2026-09-18,play_store,18.17.3,en,0,98be7df1-c376-4934-aca4-b86ce220c98e,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice,,5,2026-09-18,play_store,18.17.3,en,0,5bef31cf-2f89-4776-983e-632dd3501c0a,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
"This app should be banned."" Fraud is always honored in India Fake Trading Platform! This app uses fake charts and manipulated data to make you lose money. They demand extra ""taxes"" or ""fees"" when you ask for a withdrawal and then stop responding. Stay far away! 100% Fraud App! They steal your money under the guise of trading investments. Customer support is useless and only exists to trap more of your money. Save yourself and avoid downloading this Brokerage is also charged on top of that.",,1,2026-09-18,play_store,18.16.1,en,0,8b4e9c54-a918-4564-b48f-6f23068a73a2,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
what an app 💀💀,,5,2026-09-18,play_store,,en,0,681c987e-a13d-4c39-86c7-6aa68b188e2b,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
lodu app,,1,2026-09-18,play_store,,en,1,8f66e2e6-9e26-4547-9e88-d13b4ae5e92b,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
absolutely perfect,,5,2026-09-18,play_store,18.17.3,en,0,7da95596-d920-4a89-ab43-80c0f8ee4004,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good,,4,2026-09-18,play_store,,en,0,7856b419-c669-43d0-9988-bb6484554edf,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
supar,,5,2026-09-18,play_store,18.16.1,en,0,477896b0-4b39-4b08-862c-e9726ff22cb3,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good app,,5,2026-09-18,play_store,,en,0,270ee7fc-e572-4e2a-a6cd-a0fac50e139d,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
ok,,5,2026-09-18,play_store,18.17.3,en,0,ca4e69a9-cfab-4992-9729-b5b6978255cb,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good,,5,2026-09-18,play_store,18.15.1,en,0,a9a68f51-0bf9-41b3-96da-306b1aef7197,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
mein ne ipo mein apply Kiya mere paise 2 bar cut hue mein ne ek bar apply Kiya tha and sabse badi problem mein ne cancel hone k bad Paisa aaya nai 3 din ho gye,,1,2026-09-18,play_store,18.17.3,en,0,cadbd017-15e9-46e8-9583-c089175ceafa,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
There Should be 1. Demat Number portability service and 2. SLBM option like Dhan app,,4,2026-09-18,play_store,18.16.1,en,0,0000751d-75b8-44eb-9e4d-be124bf4a45b,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
Glitch full App,,1,2026-09-18,play_store,18.17.3,en,0,828a289b-87d8-418c-b17f-1e6a8d2908a0,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
very easy and simple,,5,2026-09-18,play_store,18.17.3,en,0,509acf1a-d707-4096-8e9d-c1934c270f2f,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
ok,,5,2026-09-18,play_store,18.17.3,en,0,7e860319-e362-4a4a-b227-37f8f83be4d0,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
best,,5,2026-09-18,play_store,18.17.3,en,0,88605008-9b38-44f6-8030-2a02263e9224,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
owsm,,5,2026-09-18,play_store,18.17.3,en,0,bce5759a-eb28-4451-8b33-c28567176a96,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good,,4,2026-09-18,play_store,18.17.3,en,1,b3fa8639-198e-4a91-8091-ee49909ad7d6,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
ok,,1,2026-09-18,play_store,18.17.3,en,0,0709bb5e-0064-4a39-a184-01a2a912ea2e,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
Doesn't have enough support agent to solve any queries.,,1,2026-09-18,play_store,18.16.1,en,0,9c4cbc22-ac7c-4980-8db7-e67f91857161,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
one problem ddpi pin free of cost another broker and groww is charge for ddpi pin this is not valid,,5,2026-09-18,play_store,18.16.1,en,0,c8ea376e-1d05-48c1-a567-731c65e5888d,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
"withdrawal process not instant, app earn many charges but withdrawal process is pending, don't expect this app fast process",,1,2026-09-18,play_store,,en,0,3cb06a31-ebce-4ebd-a982-344fbb999c10,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
goodapp,,5,2026-09-18,play_store,18.17.3,en,0,ece63b8a-4862-4d60-a356-c1c7775d3eb2,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
bahut bakwas company hai Guru pahle to fund deti Hai mtf mein share lene ke liye bad mein mines karti hai,,1,2026-09-18,play_store,18.17.3,en,0,ec84b24a-e142-424d-a77b-a82f873adfde,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
okay,,5,2026-09-18,play_store,18.17.3,en,0,f4a5ddd2-82a5-4c3d-96c5-6bfc839fa024,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
nice 🤩,,5,2026-09-18,play_store,18.15.0,en,0,9c3f194c-201a-4c80-9904-3f2414a97e4c,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
best platform and service,,4,2026-09-18,play_store,18.16.1,en,0,40d86501-5282-4210-b6a0-138c18451ae4,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
Don't install it. It is useless because you save your money for growth and investment purposes as well as timely needs indeed but the problem is your money you can't use when you need then why we use groww app. If I can't withdraw the amount from my wallet then why do I choose It. It deserves zero star.,,1,2026-09-18,play_store,18.17.3,en,0,6d45d1d7-74ad-4f27-a1cf-52ea24b0127d,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
"Worst for trading or chart reading. Use this only for SIPs. It literally gave me an alert saying that the stock had reached my target, but when I checked the chart on my PC, the price was still 100 points below that target. Can you believe this? 🤬🤬👎🏻👎🏻👎🏻👎🏻👎🏻",,1,2026-09-18,play_store,18.17.3,en,0,bb351464-0689-48da-b6a6-1200443ba4bc,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
Agar ap khud ke pese nhi nikal skte wallet se to app ka kya faida. some time amount debited from account but now show in wallet.,,1,2026-09-18,play_store,,en,0,be15289a-a07d-4792-89ed-55da1763e7a2,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
"This is the worst app.Buying is one price, Buy is another. If you buy, the price falls, if you sell, the price rises. No one should download this app, which is full of fraud and deceit.",,1,2026-09-18,play_store,18.17.3,en,0,4eb33c96-bfb6-45f0-b652-5e1c94d9d6a9,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
good 👍,,5,2026-09-18,play_store,18.17.3,en,0,acb8b5be-5760-4d53-b758-f56377b6360c,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
5 star,,4,2026-09-18,play_store,18.17.3,en,0,c96d985d-7132-4686-baa6-e7209d232dfb,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
5 4W2 se 3rdth 6+91 95993 18832,,1,2026-09-18,play_store,,en,0,1b45bffe-596f-46e7-8034-b0975de38116,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
provide an option to modify the ipo application.,,1,2026-09-18,play_store,18.17.3,en,1,e081dcf5-97d1-46b2-9262-3e499f57c072,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
harmful,,5,2026-09-18,play_store,18.17.3,en,0,420683e1-acdb-424f-a546-0eb1314f9a47,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
after the last update it is very very slow. please fix as soon as possible,,3,2026-09-18,play_store,,en,1,45b1b8cd-9bae-4547-a2e2-f7ee0dbf53b8,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
"I've been using this App for 3years and I do not have any complain on other things but from yesterday the App start working slow and I thought it was my device but even if I cleared up the space for it there was still hanging and I almost lost from my trading..apart from hanging I do not have any complain,it was beginner friendly and easy to enter and exit.",,3,2026-09-18,play_store,18.17.3,en,0,2cc15a0a-4f02-463f-9932-0ce754b700e2,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
ok,,5,2026-09-18,play_store,18.17.3,en,0,9efc7dc0-72fd-4f98-9ada-cda842dd82e1,Groww,com.nextbillion.groww,google_play_public_no_login_fetcher
